Epoch,step,lr,loss,acc
1,0,0.00020480000000000004,541.155,0.0485260770975
1,102400,0.00020480000000000004,3.58859,0.0612244897959
2,0,0.00020480000000000004,3.54449,0.0609977324263
2,102400,0.00020480000000000004,3.26362,0.141723356009
3,0,0.00020480000000000004,3.08898,0.183673469388
3,102400,0.00020480000000000004,2.8622,0.282766439909
4,0,0.00020480000000000004,2.75409,0.309070294785
4,102400,0.00020480000000000004,2.35821,0.479365078851
5,0,0.00020480000000000004,2.3541,0.53333333282
5,102400,0.00020480000000000004,1.5523,0.707256235638
6,0,0.00016384000000000006,1.09863,0.737641722896
6,102400,0.00016384000000000006,0.879971,0.884580498109
7,0,0.00016384000000000006,0.562875,0.924489795918
7,102400,0.00016384000000000006,0.439794,0.93877550969
8,0,0.00016384000000000006,0.56225,0.938775510204
8,102400,0.00016384000000000006,0.341941,0.941950113379
9,0,0.00016384000000000006,0.239963,0.945804988662
9,102400,0.00016384000000000006,0.301155,0.945578231293
10,0,0.00016384000000000006,0.286617,0.946031746032
10,102400,0.00016384000000000006,0.210418,0.946031746032
11,0,0.00013107200000000006,0.470236,0.947392290249
11,102400,0.00013107200000000006,0.207952,0.950113378685
12,0,0.00013107200000000006,0.167724,0.956689342404
12,102400,0.00013107200000000006,0.193741,0.957369614512
13,0,0.00013107200000000006,0.193711,0.953741496599
13,102400,0.00013107200000000006,0.128603,0.956916099773
14,0,0.00013107200000000006,0.0911312,0.951020408163
14,102400,0.00013107200000000006,0.0734709,0.951247165533
15,0,0.00013107200000000006,0.226684,0.954421768707
15,102400,0.00013107200000000006,0.152064,0.956916099773
16,0,0.00010485760000000006,0.0683581,0.953968253968
16,102400,0.00010485760000000006,0.140393,0.953514739229
17,0,0.00010485760000000006,0.163077,0.951247165803
17,102400,0.00010485760000000006,0.172959,0.951473922902
18,0,0.00010485760000000006,0.157733,0.955102040816
18,102400,0.00010485760000000006,0.106182,0.952834466607
19,0,0.00010485760000000006,0.0810394,0.953968253968
19,102400,0.00010485760000000006,0.0599687,0.95306122476
20,0,0.00010485760000000006,0.14195,0.955328798186
20,102400,0.00010485760000000006,0.219448,0.958503401361
21,0,8.388608000000005e-05,0.128575,0.955782312925
21,102400,8.388608000000005e-05,0.0982455,0.955102040816
22,0,8.388608000000005e-05,0.147746,0.955782312925
22,102400,8.388608000000005e-05,0.316542,0.952607710021
23,0,8.388608000000005e-05,0.26825,0.95328798213
23,102400,8.388608000000005e-05,0.118975,0.951247165803
24,0,8.388608000000005e-05,0.0642526,0.955782312925
24,102400,8.388608000000005e-05,0.156344,0.95283446712
25,0,8.388608000000005e-05,0.131926,0.956462585034
25,102400,8.388608000000005e-05,0.0720153,0.956462585034
26,0,6.710886400000004e-05,0.15511,0.956916099773
26,102400,6.710886400000004e-05,0.261985,0.953514738202
27,0,6.710886400000004e-05,0.317992,0.948299319485
27,102400,6.710886400000004e-05,0.145297,0.945578231293
28,0,6.710886400000004e-05,0.203857,0.952154195011
28,102400,6.710886400000004e-05,0.201644,0.95283446712
29,0,6.710886400000004e-05,0.146443,0.957142857143
29,102400,6.710886400000004e-05,0.15849,0.953741496599
30,0,6.710886400000004e-05,0.137056,0.958049886621
30,102400,6.710886400000004e-05,0.191096,0.956235827664
